"ID";"Q1:IncomeDiff";"Q2:GayAdoption";"Q3:NuclearPow";"Q4:ChildAlw";"Q5:SeniorCare";"Q6:RetireAge";"Q7:ExtWCareer";"Q8:BendIndex";"Q9:CutPblExpend";"Q10:GreekDebt";"Q11:TransacTax";"Q12:TaxInc";"Q13:TaxDeduc";"Q14:MortDeduc";"Q15:RealEstTax";"Q16:Conscript";"Q17:NATO";"Q18:HumRight";"Q19:LandOwn";"Q20:DvlAid";"Q22:Guns";"Q23:VolDomLng";"Q24:Suvivirsi";"Q25:Immigration";"Q26:SaimaaSeal";"Q27:MunOutsource";"Q28:MunNb";"Q29:CptRegMerger";"Q30:EqlTransfer";"CountAnsw";"Q21:Fb:Bolivia";"Q21:Fb:Brasilia";"Q21:Fb:UK";"Q21:Fb:Spain";"Q21:Fb:Ghana";"Q21:Fb:India";"Q21:Fb:Iran";"Q21:Fb:Island";"Q21:Fb:Israel";"Q21:Fb:Italy";"Q21:Fb:Canada";"Q21:Fb:China";"Q21:Fb:Cuba";"Q21:Fb:Norway";"Q21:Fb:Poland";"Q21:Fb:France";"Q21:Fb:Sweden";"Q21:Fb:Germany";"Q21:Fb:Tanzania";"Q21:Fb:Danemark";"Q21:Fb:Tunisia";"Q21:Fb:Turkey";"Q21:Fb:Russia";"Q21:Fb:Estonia";"Q21:Fb:USA";"CountQ21:Fb";"Q31:GvtPrt:IPU";"Q31:GvtPrt:KES";"Q31:GvtPrt:KOK";"Q31:GvtPrt:KA";"Q31:GvtPrt:KD";"Q31:GvtPrt:KTP";"Q31:GvtPrt:M2011";"Q31:GvtPrt:PS";"Q31:GvtPrt:PIR";"Q31:GvtPrt:RKP";"Q31:GvtPrt:SDP";"Q31:GvtPrt:SEN";"Q31:GvtPrt:SKP";"Q31:GvtPrt:STP";"Q31:GvtPrt:VP";"Q31:GvtPrt:VAS";"Q31:GvtPrt:VIHR";"CountQ31:GvtPrt";"W1:IncomeDiff";"W2:GayAdoption";"W3:NuclearPow";"W4:ChildAlw";"W5:SeniorCare";"W6:RetireAge";"W7:ExtWCareer";"W8:BendIndex";"W9:CutPblExpend";"W10:GreekDebt";"W11:TransacTax";"W12:TaxInc";"W13:TaxDeduc";"W14:MortDeduc";"W15:RealEstTax";"W16:Conscript";"W17:NATO";"W18:HumRight";"W19:LandOwn";"W20:DvlAid";"W21:FBCountry";"W22:Guns";"W23:VolDomLng";"W24:Suvivirsi";"W25:Immigration";"W26:SaimaaSeal";"W27:MunOutsource";"W28:MunNb";"W29:CptRegMerger";"W30:EqlTransfer";"W31:GvtPrt";"CountNegW";"CountPosW"
"Huuhilo Marjo";"ReducMuch";"0";"1";"Remove";"Yes";"Reduce";"NotAny";"IncSligh";"RedDvlAid";"SuppWasMstk";"YesIfOther";"CapIncome";"NoneOfThese";"Keep";"0";"Keep";"NotSoon";"YesHumRight";"ResRussian";"Reduce";"BanHomeStrg";"1";"YesTrad";"Fine";"Keep";"IncAndLearn";"230";"Keep";"Keep";29;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ikkela-Koski Tuulia";"ReducSlight";"0";"0";"NoImpact";"NoRecommend";"RaiseByOne";"NotAny";"PricePrior";"DropDaycare";"FinInterest";"YesAlways";"CapIncome";"UnionFees";"RemGrad";"0";"Keep";"NotSoon";"YesWithEU";"NoRestrict";"Keep";"Keep";"1";"YesTrad";"Fine";"Keep";"IncAndLearn";"230";"VoluntCoop";"MoreEq";29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Isola Sanna";"ReducSlight";"0";"0";"NoImpact";"NoRecommend";"RaiseByOne";"NotAny";"Keep";"DropDaycare";"FinInterest";"YesAlways";"CapIncome";"UnionFees";"RemGrad";"0";"Keep";"NotSoon";"YesHumRight";"NoRestrict";"NoIncrease";"Loosen";"1";"YesTrad";"TooLoose";"LocNetBan";"IncAndLearn";"290";"VoluntCoop";"Keep";29;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;3;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;1;-1;1;1;0;0;1;0;0;0;-1;0;0;0;1;0;1;0;0;0;0;-1;0;0;0;1;0;0;-1;1;-1;5;8
"Isomaa Eero";"ReducMuch";"0";"0";"NoImpact";"Yes";"Keep";"NotAny";"IncSligh";"Other";"FinInterest";"YesIfOther";"VAT";"TFHomeSeller";"RemGrad";"0";"Keep";"NotSoon";"YesWithEU";"ResRussian";"GrowMod";"Loosen";"1";"YesTrad";"Fine";"Keep";"IncAndLearn";"230";"VoluntCoop";"MoreEq";29;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;-1;0;0;0;0;0;0;1;0;0;1;1;10
"Jalonen Vesa";"ReducSlight";"0";"1";"NoImpact";"Yes";"Keep";"NotAny";"Keep";"RedDvlAid";"FinInterest";"YesAlways";"CapIncome";"NoneOfThese";"Keep";"0";"Keep";"NotSoon";"YesWithEU";"ResRussian";"GrowMod";"BanHomeStrg";"1";"YesTrad";"TooLoose";"LocNetBan";"NoInc";"230";"VoluntCoop";"Keep";29;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;11
"Jarva Marisanna";"ReducMuch";"0";"0";"NoImpact";"Yes";"RaiseByOne";"IncAge";"PricePrior";"DropDaycare";"FinInterest";"YesIfOther";"CapIncome";"UnionFees";"Keep";"0";"Keep";"NotSoon";"YesHumRight";"ResRussian";"GrowMod";"Keep";"0";"YesIfOpt";"Fine";"LocNetBan";"IncAndLearn";"290";"VoluntCoop";"MoreEq";29;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;3;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;1;11
"Jarvinen Sari";"ReducMuch";"0";"0";"Adjust";"Yes";"Keep";"NotAny";"Fifty";"RedDvlAid";"SuppWasMstk";"YesIfOther";"Capital";"TFHomeSeller";"RemGrad";"0";"Keep";"NotSoon";"YesHumRight";"ResRussian";"Reduce";"Keep";"1";"YesTrad";"Fine";"Keep";"NoInc";"290";"VoluntCoop";"MoreEq";29;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"Jauhojarvi Pirkko";"ReducMuch";"0";"0";"Keep";"Yes";"Keep";"NotAny";"Fifty";"RedDvlAid";"FinInterest";"Never";"Capital";"NoneOfThese";"Keep";"0";"Keep";"NotSoon";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;-1;1;1;1;1;1;0;1;1;-1;1;0;0;1;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;11
"Kaariainen Seppo";"ReducMuch";"0";"0";"Keep";"Yes";"Keep";"NotAny";"Keep";"Other";"FinInterest";"YesIfOther";"CapIncome";"HouseHDed";"Keep";"0";"Keep";"NotSoon";"YesHumRight";"ResRussian";"Keep";"Keep";"0";"YesIfOpt";"Fine";"Keep";"IncAndLearn";"290";"VoluntCoop";"Keep";29;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;-1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;-1;0;0;0;2;4
"Kahkola Katariina";"ReducMuch";"1";"0";"Keep";"Yes";"RaiseByOne";"NotAny";"IncSligh";"Other";"FinInterest";"YesIfOther";"CapIncome";"HouseHDed";"Keep";"0";"Keep";"NotSoon";"YesHumRight";"NoRestrict";"GrowMod";"Keep";"0";"YesTrad";"Fine";"LocNetBan";"IncAndLearn";"170";"VoluntCoop";"Keep";29;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;1;1;0;0;-1;0;0;0;1;0;1;1;0;0;0;1;12
