"ID","Q1.IncomeDiff","Q2.GayAdoption","Q3.NuclearPow","Q4.ChildAlw","Q5.SeniorCare","Q6.RetireAge","Q7.ExtWCareer","Q8.BendIndex","Q9.CutPblExpend","Q10.GreekDebt","Q11.TransacTax","Q12.TaxInc","Q13.TaxDeduc","Q14.MortDeduc","Q15.RealEstTax","Q16.Conscript","Q17.NATO","Q18.HumRight","Q19.LandOwn","Q20.DvlAid","Q22.Guns","Q23.VolDomLng","Q24.Suvivirsi","Q25.Immigration","Q26.SaimaaSeal","Q27.MunOutsource","Q28.MunNb","Q29.CptRegMerger","Q30.EqlTransfer","CountAnsw","Q21.Fb.Bolivia","Q21.Fb.Brasilia","Q21.Fb.UK","Q21.Fb.Spain","Q21.Fb.Ghana","Q21.Fb.India","Q21.Fb.Iran","Q21.Fb.Island","Q21.Fb.Israel","Q21.Fb.Italy","Q21.Fb.Canada","Q21.Fb.China","Q21.Fb.Cuba","Q21.Fb.Norway","Q21.Fb.Poland","Q21.Fb.France","Q21.Fb.Sweden","Q21.Fb.Germany","Q21.Fb.Tanzania","Q21.Fb.Danemark","Q21.Fb.Tunisia","Q21.Fb.Turkey","Q21.Fb.Russia","Q21.Fb.Estonia","Q21.Fb.USA","CountQ21.Fb","Q31.GvtPrt.IPU","Q31.GvtPrt.KES","Q31.GvtPrt.KOK","Q31.GvtPrt.KA","Q31.GvtPrt.KD","Q31.GvtPrt.KTP","Q31.GvtPrt.M2011","Q31.GvtPrt.PS","Q31.GvtPrt.PIR","Q31.GvtPrt.RKP","Q31.GvtPrt.SDP","Q31.GvtPrt.SEN","Q31.GvtPrt.SKP","Q31.GvtPrt.STP","Q31.GvtPrt.VP","Q31.GvtPrt.VAS","Q31.GvtPrt.VIHR","CountQ31.GvtPrt","W1.IncomeDiff","W2.GayAdoption","W3.NuclearPow","W4.ChildAlw","W5.SeniorCare","W6.RetireAge","W7.ExtWCareer","W8.BendIndex","W9.CutPblExpend","W10.GreekDebt","W11.TransacTax","W12.TaxInc","W13.TaxDeduc","W14.MortDeduc","W15.RealEstTax","W16.Conscript","W17.NATO","W18.HumRight","W19.LandOwn","W20.DvlAid","W21.FBCountry","W22.Guns","W23.VolDomLng","W24.Suvivirsi","W25.Immigration","W26.SaimaaSeal","W27.MunOutsource","W28.MunNb","W29.CptRegMerger","W30.EqlTransfer","W31.GvtPrt","CountNegW","CountPosW","cluster"
"Taimela Katja","ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","IncSligh","RedMilitary","FinInterest","YesAlways","CapIncome","HouseHDed","Keep","0","Keep","Never","YesHumRight","ResAllForeign","Keep","BanHomeStrg","0","YesTrad","TooLoose","LocNetBan","NoInc","170","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2
"Tainio Hanna","ReducSlight","1","0","NoImpact","Yes","Keep","NotAny","IncSligh","CutBusiness","FinInterest","YesAlways","CapIncome","EmpBenDed","RemGrad","1","Keep","NotSoon","YesWithEU","ResRussian","Keep","BanHandG","1","YesTrad","Fine","LocNetBan","NoInc","0","NewCouncil","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2
"Taipale Ilkka","ReducMuch","1","1","NoImpact","NoRecommend","Keep","NotAny","IncSligh","RedMilitary","FinInterest","YesIfOther","CapIncome","TFHomeSeller","RemGrad","0","Keep","Never","YesHumRight","NoRestrict","Keep","Keep","0","YesTrad","Fine","Keep","NoInc","0","Must","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","3","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","3","1","-1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","1","0","1","0","1","1","11",2
"Taka-Eilola Tomi","ReducSlight","1","0","NoImpact","Yes","Keep","NotAny","Fifty","CutBusiness","DebtRestruct","YesAlways","CapIncome","HouseHDed","Keep","0","Keep","Never","YesWithEU","NoRestrict","GrowMod","Keep","1","YesIfOpt","Fine","Keep","Reduce","170","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","3","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6",2
"Tenkula Tarja","ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","IncSligh","RedMilitary","SuppWasMstk","YesIfOther","CapIncome","NoneOfThese","RemGrad","1","Keep","YesIfSwe","YesHumRight","NoRestrict","Keep","BanHomeStrg","1","YesTrad","Fine","LocNetBan","Reduce","170","NewCouncil","LessEq","29","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3
"Tiira Hannes","ReducMuch","0","0","Remove","Yes","Keep","NotAny","PricePrior","RedMilitary","SuppWasMstk","YesAlways","CapIncome","NoneOfThese","Keep","1","Quit","Never","YesWithEU","ResAllForeign","Keep","BanHandG","0","YesTrad","TooStrict","WNetBandAndBuild","Reduce","290","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","3","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","-1","0","0","1","0","1","0","1","1","-1","-1","0","0","3","7",2
"Tiirinen Pyry","ReducMuch","0","0","NoImpact","Yes","Keep","NotAny","Fifty","RedMilitary","SuppWasMstk","YesIfOther","Capital","HouseHDed","Keep","1","Select","Never","YesHumRight","ResRussian","GrowMod","BanHomeStrg","1","YesTrad","Fine","Keep","Reduce","230","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","3","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","7",2
"Tokola Antti","ReducSlight","1","1","NoImpact","Yes","Keep","RemAllowance","Fifty","RedMilitary","SuppWasMstk","YesIfOther","CapIncome","TFHomeSeller","RemGrad","1","Keep","YesNotSoon","YesHumRight","NoRestrict","NoIncrease","BanHomeStrg","1","YesTrad","TooLoose","LocNetBan","NoInc","170","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","3","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","1","0","0","0","0","0","-1","3","1",2
"Torsti Pilvi","ReducSlight","1","0","NoImpact","Yes","Keep","NotAny","Keep","CutBusiness","DebtRestruct","YesAlways","CapIncome","NoneOfThese","RemGrad","1","Select","NotSoon","YesHumRight","NoRestrict","Keep","BanHandG","1","YesTrad","Fine","LocNetBan","NoInc","170","NewCouncil","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","-1","0","-1","0","0","0","0","0","-1","4","2",2
"Tsutsunen Annastina","ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","Keep","CutAgri","Support","YesIfOther","CapIncome","NoneOfThese","Keep","1","Keep","Never","YesHumRight","NoRestrict","GrowMod","Keep","0","YesTrad","TooStrict","LocNetBan","NoInc","230","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3
