"ID","Q1.IncomeDiff","Q2.GayAdoption","Q3.NuclearPow","Q4.ChildAlw","Q5.SeniorCare","Q6.RetireAge","Q7.ExtWCareer","Q8.BendIndex","Q9.CutPblExpend","Q10.GreekDebt","Q11.TransacTax","Q12.TaxInc","Q13.TaxDeduc","Q14.MortDeduc","Q15.RealEstTax","Q16.Conscript","Q17.NATO","Q18.HumRight","Q19.LandOwn","Q20.DvlAid","Q22.Guns","Q23.VolDomLng","Q24.Suvivirsi","Q25.Immigration","Q26.SaimaaSeal","Q27.MunOutsource","Q28.MunNb","Q29.CptRegMerger","Q30.EqlTransfer","CountAnsw","Q21.Fb.Bolivia","Q21.Fb.Brasilia","Q21.Fb.UK","Q21.Fb.Spain","Q21.Fb.Ghana","Q21.Fb.India","Q21.Fb.Iran","Q21.Fb.Island","Q21.Fb.Israel","Q21.Fb.Italy","Q21.Fb.Canada","Q21.Fb.China","Q21.Fb.Cuba","Q21.Fb.Norway","Q21.Fb.Poland","Q21.Fb.France","Q21.Fb.Sweden","Q21.Fb.Germany","Q21.Fb.Tanzania","Q21.Fb.Danemark","Q21.Fb.Tunisia","Q21.Fb.Turkey","Q21.Fb.Russia","Q21.Fb.Estonia","Q21.Fb.USA","CountQ21.Fb","Q31.GvtPrt.IPU","Q31.GvtPrt.KES","Q31.GvtPrt.KOK","Q31.GvtPrt.KA","Q31.GvtPrt.KD","Q31.GvtPrt.KTP","Q31.GvtPrt.M2011","Q31.GvtPrt.PS","Q31.GvtPrt.PIR","Q31.GvtPrt.RKP","Q31.GvtPrt.SDP","Q31.GvtPrt.SEN","Q31.GvtPrt.SKP","Q31.GvtPrt.STP","Q31.GvtPrt.VP","Q31.GvtPrt.VAS","Q31.GvtPrt.VIHR","CountQ31.GvtPrt","W1.IncomeDiff","W2.GayAdoption","W3.NuclearPow","W4.ChildAlw","W5.SeniorCare","W6.RetireAge","W7.ExtWCareer","W8.BendIndex","W9.CutPblExpend","W10.GreekDebt","W11.TransacTax","W12.TaxInc","W13.TaxDeduc","W14.MortDeduc","W15.RealEstTax","W16.Conscript","W17.NATO","W18.HumRight","W19.LandOwn","W20.DvlAid","W21.FBCountry","W22.Guns","W23.VolDomLng","W24.Suvivirsi","W25.Immigration","W26.SaimaaSeal","W27.MunOutsource","W28.MunNb","W29.CptRegMerger","W30.EqlTransfer","W31.GvtPrt","CountNegW","CountPosW","cluster"
"Salonen Pasi","ReducSlight","0","1","Keep","Yes","Keep","RemAllowance","Fifty","RedDvlAid","DebtRestruct","YesAlways","CapIncome","UnionFees","Keep","1","Keep","NotSoon","YesHumRight","ResAllForeign","Remove","Loosen","1","YesTrad","TooLoose","LocNetBan","NoInc","290","VoluntCoop","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0",3,"0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,2
"Sankilampi Jaana","ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","Fifty","RedDvlAid","EuroWasMstk","YesIfOther","Capital","TFHomeSeller","Keep","0","FemAlso","Never","YesHumRight","ResRussian","Reduce","Keep","1","YesTrad","TooLoose","LocNetBan","Reduce","230","VoluntCoop","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0",3,"0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0",3,"1","-1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0",2,3,4
"Savio Sami","ReducSlight","0","0","NoImpact","Yes","Keep","NotAny","Fifty","CutAgri","DebtRestruct","YesAlways","NotAny","NoneOfThese","Remove","1","Keep","YesIfSwe","YesWithEU","ResRussian","NoIncrease","Keep","1","YesTrad","TooLoose","Keep","IncButChoose","0","VoluntCoop","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0",3,"0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",3,"0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","1","1","0","1","0","0","0","1",1,7,3
"Seppa Kari","ReducSlight","0","1","Adjust","Yes","Reduce","NotAny","Fifty","RedDvlAid","QuitEuro","YesAlways","Capital","TFHomeSeller","RemGrad","0","Keep","Never","NoDom","ResAllForeign","Reduce","Loosen","1","YesTrad","TooLoose","LocNetBan","IncAndLearn","340","Keep","MoreEq",29,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",3,"0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",3,"0","-1","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","0","0","-1","-1","1","1","1","1","1","1","-1","1","1",4,21,7
"Siitari Markku","ReducMuch","0","1","Adjust","Yes","Keep","NotAny","Fifty","RedDvlAid","SuppWasMstk","YesIfOther","Capital","NoneOfThese","RemGrad","0","Keep","Never","YesHumRight","ResRussian","Reduce","Keep","1","YesTrad","TooLoose","TooMuch","NoInc","230","Keep","MoreEq",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0",3,"0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",3,"0","1","-1","0","1","1","0","1","0","1","0","1","0","1","0","0","0","1","1","1","1","0","1","1","1","1","1","0","0","1","-1",2,17,7
"Siitonen Veikko","ReducMuch","0","0","NoImpact","Yes","Reduce","NotAny","Fifty","RedDvlAid","SuppWasMstk","Never","CapIncome","TFHomeSeller","RemGrad","1","Keep","NotSoon","YesWithEU","ResRussian","Reduce","BanHomeStrg","1","YesTrad","TooLoose","Keep","NoInc","290","VoluntCoop","MoreEq",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0",3,"0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",3,"1","0","1","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",0,8,4
"Simonen Juha","ReducSlight","0","1","Adjust","Yes","Keep","NotAny","PricePrior","RedDvlAid","EuroWasMstk","YesIfOther","Capital","UnionFees","RemGrad","0","Keep","Never","YesHumRight","ResAllForeign","Remove","Keep","1","YesTrad","TooLoose","LocNetBan","IncAndLearn","230","VoluntCoop","LessEq",29,"0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0",3,"0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",3,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","1","0","-1",1,6,3
"Sinisalo Pekka M.","ReducMuch","0","1","Adjust","NoIncrease","Keep","NotAny","Fifty","CutBusiness","SuppWasMstk","YesIfOther","CapIncome","EmpBenDed","RemGrad","1","Keep","YesNotSoon","YesHumRight","ResRussian","Reduce","Loosen","1","YesTrad","TooLoose","LocNetBan","NoInc","290","VoluntCoop","LessEq",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1",3,"0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,2
"Siukola Jaana","ReducMuch","0","0","NoImpact","Yes","Keep","NotAny","PricePrior","Other","EuroWasMstk","YesAlways","Capital","NoneOfThese","Keep","0","Keep","NotSoon","YesWithEU","ResRussian","NoIncrease","Keep","1","YesTrad","TooLoose","LocNetBan","NoInc","230","VoluntCoop","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0",3,"0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0",3,"1","-1","1","1","0","1","1","0","0","1","-1","0","1","0","0","0","0","0","0","0","-1","0","1","0","0","-1","1","0","0","0","0",4,9,4
"Sjoholm Kimmo","ReducMuch","0","0","Remove","Yes","Reduce","NotAny","IncomePrior","CutAgri","DebtRestruct","YesAlways","CapIncome","NoneOfThese","Remove","0","Select","Never","YesWithEU","NoRestrict","Reduce","Keep","1","YesTrad","Fine","LocNetBan","Reduce","0","Must","MoreEq",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0",3,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",1,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","1","1",0,26,7
