"ID";"ElectDistrict";"Party";"Age";"Gender";"Independent";"Region";"EduLvl";"RegElected";"MP";"EuroMP"
"Tiura Marja";"Pirkanmaa";"KOK";41;"F";0;"Pirkanmaa";6;0;1;0
"Toivakka Lenita";"S-Savonia";"KOK";49;"F";0;"S-Savonia";6;1;1;0
"Toivonen Ritva";"Satakunta";"KOK";49;"F";0;"Satakunta";7;0;0;0
"Tolvanen Kari";"Uusimaa";"KOK";NA;"M";0;"Uusimaa";0;0;0;0
"Turunen Martti";"Oulu";"KOK";64;"M";0;"N-Ostrobothnia";6;1;0;0
"Urpalainen Anu";"Kymi";"KOK";44;"F";0;"S-Karelia";6;1;0;0
"Urpilainen Leo";"C-Finland";"KOK";NA;NA;NA;NA;NA;NA;NA;NA
"Vahasalo Raija";"Uusimaa";"KOK";50;"F";0;"Uusimaa";6;1;1;0
"Valtonen Olli";"Helsinki";"KOK";61;"M";0;"Uusimaa";6;1;0;0
"Vapaavuori Jan";"Helsinki";"KOK";46;"M";0;"Uusimaa";6;1;1;0
"Varis Minna";"N-Karelia";"KOK";53;"F";0;"N-Karelia";4;0;0;0
"Viitanen Annika";"Finland Proper";"KOK";25;"F";0;"W-Finland";5;1;0;0
"Viitanen Tiina";"Uusimaa";"KOK";48;"F";0;"Uusimaa";6;0;0;0
"Vikman Sofia";"Pirkanmaa";"KOK";27;"F";0;"Pirkanmaa";6;1;0;0
"Viljanen Arto";"Tavastia";"KOK";46;"M";0;"Tavastia Proper";6;0;0;0
"Viljanen Ilkka";"Tavastia";"KOK";50;"M";0;"Paijat-Hame";4;1;1;0
"Viljanen Jussi";"Pirkanmaa";"KOK";NA;"M";0;"Pirkanmaa";5;1;0;0
"Virkkunen Henna";"C-Finland";"KOK";38;"F";0;"C-Finland";6;1;1;0
"Virolainen Anne-Mari";"Finland Proper";"KOK";45;"F";0;"W-Finland";6;1;1;0
"Voca Lulzim";"C-Finland";"KOK";35;"M";0;"C-Finland";4;0;0;0
"Wallinheimo Sinuhe";"C-Finland";"KOK";39;"M";0;"C-Finland";6;1;0;0
"Zyskowicz Ben";"Helsinki";"KOK";56;"M";0;"Uusimaa";6;0;1;0
"Ahllund Leena";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Elo Tiina-Maria";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Hahtonen Matti";"Oulu";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Harju Hannu";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Harju Raakel";"N-Savonia";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Helio Heikki";"N-Savonia";"KTP";59;"M";0;"N-Savonia";2;0;0;0
"Ikonen Pertti";"Kymi";"KTP";65;"M";1;"Kymenlaakso";3;0;0;0
"Isoviita Pekka";"Satakunta";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Jarvinen Jesse";"Pirkanmaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Karppanen Aarno";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Kauhanen Teuvo";"Helsinki";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Kinnunen Simo";"Oulu";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Kivikoski Marke";"Pirkanmaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Knuutila Jarmo";"Kymi";"KTP";NA;"M";0;"S-Karelia";2;0;0;0
"Koivuaho Asko";"Lapland";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Krannila Olli";"Satakunta";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Laakso Eino";"Tavastia";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Lehikoinen Janne";"Uusimaa";"KTP";38;"M";0;"Uusimaa";3;0;0;0
"Leivo Kai";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Leppanen Mikko";"Tavastia";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Lintunen Kari";"S-Savonia";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Makinen Pentti";"Lapland";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Matinlassi Taisto";"Lapland";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Mauria-Haidara Reija";"Helsinki";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Merilainen Otto";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Merilainen Paula";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Moilanen Sari";"Oulu";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Nieminen Rita";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Nieminen Timo";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Niskanen Reino";"Helsinki";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Nurmikumpu Kaarlo";"Lapland";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Paivaniemi Juha";"Vaasa";"KTP";53;"M";0;"S-Ostrobothnia";3;0;0;0
"Saastamoinen Aira";"N-Karelia";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Saastamoinen Pirjo";"Lapland";"KTP";64;"F";0;"Lapland";6;0;0;0
